"","Var1","Var2","value"
"5886","Wiki Templates Transforming Instructional Environments (WITTIE)","Digital Media & Learning Competition 1",1
"5887","WildLab","Digital Media & Learning Competition 1",4
"5888","Women Aloud: Videoblogging for Empowerment (WAVE)","Digital Media & Learning Competition 1",1
"5889","Youth APPLab","Digital Media & Learning Competition 1",2
"5890","Youth Digital Filmmaker Badge System","Digital Media & Learning Competition 1",1
"5892","4-H/USDA Robotics Digital Badges","Digital Media & Learning Competition 2",1
"5894","Access + Digital Literacy","Digital Media & Learning Competition 2",2
"5896","American Graduate: Let's Make It Happen Badges","Digital Media & Learning Competition 2",1
"5898","Badges for Lifelong Learning","Digital Media & Learning Competition 2",2
"5899","Badges in Higher Ed","Digital Media & Learning Competition 2",1
"5900","Badges Work for Vets","Digital Media & Learning Competition 2",1
"5903","Black Cloud: Environmental Studies Gaming","Digital Media & Learning Competition 2",2
"5904","Bound By Law","Digital Media & Learning Competition 2",1
"5906","Cellcraft: Exploring the Cell Through Computer Games","Digital Media & Learning Competition 2",4
"5909","CivicsLab.com","Digital Media & Learning Competition 2",4
"5912","Collaborative Data","Digital Media & Learning Competition 2",2
"5913","Computer Science Student Network Badge System","Digital Media & Learning Competition 2",1
"5914","Conservation Connection","Digital Media & Learning Competition 2",1
"5917","Critical Commons","Digital Media & Learning Competition 2",6
"5918","Denison University Digital Humanities","Digital Media & Learning Competition 2",1
"5920","Design for America: A Badge Community for Innovation","Digital Media & Learning Competition 2",1
"5921","DevInfo GameWorks: Changing the World One Game at a Time","Digital Media & Learning Competition 2",3
"5923","Digital Democracy Contest","Digital Media & Learning Competition 2",4
"5924","Digital Dissertations","Digital Media & Learning Competition 2",1
"5925","Digital Dissertations Initiative","Digital Media & Learning Competition 2",1
"5926","Digital History","Digital Media & Learning Competition 2",1
"5928","Digital Media & Learning Competition 1","Digital Media & Learning Competition 2",13
"5930","Digital Media & Learning Competition 3","Digital Media & Learning Competition 2",5
"5931","Digital Media & Learning Competition 4","Digital Media & Learning Competition 2",2
"5932","Digital Media and Learning Competitions","Digital Media & Learning Competition 2",2
"5934","DigitalOcean: Sampling the Sea","Digital Media & Learning Competition 2",5
"5935","Disney-Pixar Wilderness Explorers Badges","Digital Media & Learning Competition 2",1
"5938","EarthWorks","Digital Media & Learning Competition 2",1
"5941","Electronic Literature Organization","Digital Media & Learning Competition 2",2
"5942","Fab@School","Digital Media & Learning Competition 2",1
"5947","Fractor: Act on Facts","Digital Media & Learning Competition 2",1
"5949","Global Challenge","Digital Media & Learning Competition 2",3
"5952","Graphic, Visual and Multi-modal Storytelling","Digital Media & Learning Competition 2",3
"5955","HASTAC Scholars - Evaluation of Impact","Digital Media & Learning Competition 2",1
"5956","HASTAC Scholars @ Liberal Arts Colleges","Digital Media & Learning Competition 2",1
"5957","HASTAC Steering Committee","Digital Media & Learning Competition 2",1
"5958","HASTAC virtual advisors","Digital Media & Learning Competition 2",1
"5959","HASTAC@Duke","Digital Media & Learning Competition 2",1
"5960","Historical Geography in Action: Linking Information Technology to Urban Planning Policies","Digital Media & Learning Competition 2",1
"5961","History Game Canada","Digital Media & Learning Competition 2",5
"5962","How They Got Game: Cultural Implications of Interactive Simulations and Video Games","Digital Media & Learning Competition 2",2
"5963","HyperCities","Digital Media & Learning Competition 2",1
"5966","Intel and Society for Science and the Public Badges","Digital Media & Learning Competition 2",1
"5968","LevelUp","Digital Media & Learning Competition 2",1
"5969","Leverage for Digital On-Ramps","Digital Media & Learning Competition 2",1
"5970","M-Ubuntu: Teachers Building an M-Literacy Collaboratory","Digital Media & Learning Competition 2",6
"5972","Mobile Action Lab","Digital Media & Learning Competition 2",1
"5973","Mobile and Immersive Learning for Literacy in Emerging Economies (MILLEE)","Digital Media & Learning Competition 2",5
"5974","Mobile Movement: Handheld Philanthropy","Digital Media & Learning Competition 2",1
"5975","Mobile Musical Networks","Digital Media & Learning Competition 2",2
"5976","Moodle as Issuer, Mahara as Displayer","Digital Media & Learning Competition 2",1
"5978","My Girl Scout Sash Is An App","Digital Media & Learning Competition 2",1
"5979","National Manufacturing Badge System","Digital Media & Learning Competition 2",1
"5980","National Science Digital Library (NSDL)","Digital Media & Learning Competition 2",1
"5981","NatureBadges: Open Source Nature & Science Badge System","Digital Media & Learning Competition 2",1
"5982","Networked Newsroom","Digital Media & Learning Competition 2",2
"5983","Networking Grassroots Knowledge Globally","Digital Media & Learning Competition 2",3
"5984","New Media and Social Movements","Digital Media & Learning Competition 2",2
"5988","Origami: Enfolding Real and Virtual Learning","Digital Media & Learning Competition 2",3
"5990","Participatory Chinatown","Digital Media & Learning Competition 2",4
"5991","Partners in Learning Network Badges","Digital Media & Learning Competition 2",1
"5992","Pathways for Lifelong Learning","Digital Media & Learning Competition 2",1
"5993","Pathways to Global Competence: A Badge System for Students","Digital Media & Learning Competition 2",1
"5994","Pedagogy","Digital Media & Learning Competition 2",3
"5996","Planet Stewards: Personalized Learning in 3D GameLab","Digital Media & Learning Competition 2",1
"5997","Playpower: Radically Affordable Computer-Aided Learning","Digital Media & Learning Competition 2",3
"5998","Preparing Librarians to Meet the Needs of 21st Century Teens","Digital Media & Learning Competition 2",1
"6001","RezEd: The Hub for Learning and Virtual Worlds","Digital Media & Learning Competition 2",1
"6002","S2R Medals","Digital Media & Learning Competition 2",1
"6003","SA&FS Learner Driven Badges Project","Digital Media & Learning Competition 2",1
"6005","Scholar Class 2010","Digital Media & Learning Competition 2",2
"6006","Scholar Class 2011","Digital Media & Learning Competition 2",2
"6007","Scholar Class 2012","Digital Media & Learning Competition 2",1
"6009","Scholars","Digital Media & Learning Competition 2",3
"6010","Science Exploratorium Project","Digital Media & Learning Competition 2",1
"6011","Scratch & Share","Digital Media & Learning Competition 2",2
"6013","Semantic Web","Digital Media & Learning Competition 2",3
"6016","Social Media Classroom","Digital Media & Learning Competition 2",5
"6018","Staff","Digital Media & Learning Competition 2",1
"6020","Student Journalism 2.0","Digital Media & Learning Competition 2",3
"6021","Sustainable South Bronx Fab Lab","Digital Media & Learning Competition 2",2
"6022","Sweet Water AQUAPONS","Digital Media & Learning Competition 2",1
"6024","Talkers and Doers","Digital Media & Learning Competition 2",3
"6025","Tecno.Tzotzil: Participatory Learning Among Indigenous Children in Chiapas","Digital Media & Learning Competition 2",2
"6036","Virtual Peace","Digital Media & Learning Competition 2",1
"6037","Visualizing Venice","Digital Media & Learning Competition 2",1
"6038","Voces Moviles (Mobile Voices)","Digital Media & Learning Competition 2",10
"6040","Who Built America? Badges for Teaching Disciplinary Literacy in History","Digital Media & Learning Competition 2",1
"6041","Wiki Templates Transforming Instructional Environments (WITTIE)","Digital Media & Learning Competition 2",3
"6042","WildLab","Digital Media & Learning Competition 2",8
"6043","Women Aloud: Videoblogging for Empowerment (WAVE)","Digital Media & Learning Competition 2",2
"6044","Youth APPLab","Digital Media & Learning Competition 2",1
"6045","Youth Digital Filmmaker Badge System","Digital Media & Learning Competition 2",1
"6046","#transformDH","Digital Media & Learning Competition 3",2
"6047","4-H/USDA Robotics Digital Badges","Digital Media & Learning Competition 3",1
"6048","A Look at MOOCs","Digital Media & Learning Competition 3",2
"6050","Alt-Ac","Digital Media & Learning Competition 3",1
"6051","American Graduate: Let's Make It Happen Badges","Digital Media & Learning Competition 3",1
"6053","Badges for Lifelong Learning","Digital Media & Learning Competition 3",4
"6054","Badges in Higher Ed","Digital Media & Learning Competition 3",1
"6055","Badges Work for Vets","Digital Media & Learning Competition 3",1
"6057","Better things to do","Digital Media & Learning Competition 3",1
"6058","Black Cloud: Environmental Studies Gaming","Digital Media & Learning Competition 3",2
"6061","Cellcraft: Exploring the Cell Through Computer Games","Digital Media & Learning Competition 3",1
"6064","CivicsLab.com","Digital Media & Learning Competition 3",1
"6065","Click! The Online Spy School","Digital Media & Learning Competition 3",2
"6066","Collaboration","Digital Media & Learning Competition 3",2
"6067","Collaborative Data","Digital Media & Learning Competition 3",1
"6068","Computer Science Student Network Badge System","Digital Media & Learning Competition 3",1
"6069","Conservation Connection","Digital Media & Learning Competition 3",4
"6071","Creatures Classified! An exploration of cataloging creatures across the galaxy.","Digital Media & Learning Competition 3",2
"6072","Critical Commons","Digital Media & Learning Competition 3",1
"6075","Design for America: A Badge Community for Innovation","Digital Media & Learning Competition 3",1
"6077","DIASTEM (Digitally Integrating Academics of Science, Technology, Engineering, and Math)","Digital Media & Learning Competition 3",2
"6078","Digital Democracy Contest","Digital Media & Learning Competition 3",1
"6079","Digital Dissertations","Digital Media & Learning Competition 3",1
"6080","Digital Dissertations Initiative","Digital Media & Learning Competition 3",1
"6081","Digital History","Digital Media & Learning Competition 3",1
"6083","Digital Media & Learning Competition 1","Digital Media & Learning Competition 3",5
"6084","Digital Media & Learning Competition 2","Digital Media & Learning Competition 3",5
"6086","Digital Media & Learning Competition 4","Digital Media & Learning Competition 3",3
"6087","Digital Media and Learning Competitions","Digital Media & Learning Competition 3",2
"6088","Digital Publishing","Digital Media & Learning Competition 3",1
"6089","DigitalOcean: Sampling the Sea","Digital Media & Learning Competition 3",1
"6090","Disney-Pixar Wilderness Explorers Badges","Digital Media & Learning Competition 3",1
"6093","EarthWorks","Digital Media & Learning Competition 3",1
"6094","EcoBugs","Digital Media & Learning Competition 3",3
"6096","Electronic Literature Organization","Digital Media & Learning Competition 3",2
"6097","Fab@School","Digital Media & Learning Competition 3",5
"6102","Fractor: Act on Facts","Digital Media & Learning Competition 3",1
"6104","Global Challenge","Digital Media & Learning Competition 3",1
"6105","Global Outlook :: Digital Humanities","Digital Media & Learning Competition 3",1
"6107","Graphic, Visual and Multi-modal Storytelling","Digital Media & Learning Competition 3",3
"6110","HASTAC Scholars - Evaluation of Impact","Digital Media & Learning Competition 3",1
"6114","HASTAC@Duke","Digital Media & Learning Competition 3",1
"6116","History Game Canada","Digital Media & Learning Competition 3",1
"6118","HyperCities","Digital Media & Learning Competition 3",3
"6121","Intel and Society for Science and the Public Badges","Digital Media & Learning Competition 3",1
"6123","LevelUp","Digital Media & Learning Competition 3",1
"6124","Leverage for Digital On-Ramps","Digital Media & Learning Competition 3",1
"6125","M-Ubuntu: Teachers Building an M-Literacy Collaboratory","Digital Media & Learning Competition 3",2
"6126","Mission: Evolution","Digital Media & Learning Competition 3",3
"6127","Mobile Action Lab","Digital Media & Learning Competition 3",3
"6128","Mobile and Immersive Learning for Literacy in Emerging Economies (MILLEE)","Digital Media & Learning Competition 3",2
"6129","Mobile Movement: Handheld Philanthropy","Digital Media & Learning Competition 3",1
"6130","Mobile Musical Networks","Digital Media & Learning Competition 3",2
"6131","Moodle as Issuer, Mahara as Displayer","Digital Media & Learning Competition 3",1
"6133","My Girl Scout Sash Is An App","Digital Media & Learning Competition 3",1
"6134","National Manufacturing Badge System","Digital Media & Learning Competition 3",1
"6136","NatureBadges: Open Source Nature & Science Badge System","Digital Media & Learning Competition 3",1
"6137","Networked Newsroom","Digital Media & Learning Competition 3",1
"6138","Networking Grassroots Knowledge Globally","Digital Media & Learning Competition 3",1
"6139","New Media and Social Movements","Digital Media & Learning Competition 3",5
"6140","New Media Literacy Group","Digital Media & Learning Competition 3",2
"6143","Origami: Enfolding Real and Virtual Learning","Digital Media & Learning Competition 3",2
"6144","Out the Window: About/In/By Los Angeles","Digital Media & Learning Competition 3",1
"6145","Participatory Chinatown","Digital Media & Learning Competition 3",2
"6146","Partners in Learning Network Badges","Digital Media & Learning Competition 3",1
"6147","Pathways for Lifelong Learning","Digital Media & Learning Competition 3",1
"6148","Pathways to Global Competence: A Badge System for Students","Digital Media & Learning Competition 3",1
"6149","Pedagogy","Digital Media & Learning Competition 3",3
"6151","Planet Stewards: Personalized Learning in 3D GameLab","Digital Media & Learning Competition 3",2
"6152","Playpower: Radically Affordable Computer-Aided Learning","Digital Media & Learning Competition 3",2
"6153","Preparing Librarians to Meet the Needs of 21st Century Teens","Digital Media & Learning Competition 3",1
"6156","RezEd: The Hub for Learning and Virtual Worlds","Digital Media & Learning Competition 3",1
"6157","S2R Medals","Digital Media & Learning Competition 3",1
"6158","SA&FS Learner Driven Badges Project","Digital Media & Learning Competition 3",1
"6160","Scholar Class 2010","Digital Media & Learning Competition 3",1
"6161","Scholar Class 2011","Digital Media & Learning Competition 3",1
"6163","Scholar Class 2013","Digital Media & Learning Competition 3",1
"6164","Scholars","Digital Media & Learning Competition 3",3
"6166","Scratch & Share","Digital Media & Learning Competition 3",6
"6168","Semantic Web","Digital Media & Learning Competition 3",1
"6170","Social Media and Reader Reception","Digital Media & Learning Competition 3",1
"6173","Staff","Digital Media & Learning Competition 3",1
"6176","Sustainable South Bronx Fab Lab","Digital Media & Learning Competition 3",1
"6177","Sweet Water AQUAPONS","Digital Media & Learning Competition 3",1
"6179","Talkers and Doers","Digital Media & Learning Competition 3",2
"6180","Tecno.Tzotzil: Participatory Learning Among Indigenous Children in Chiapas","Digital Media & Learning Competition 3",1
"6191","Virtual Peace","Digital Media & Learning Competition 3",1
"6193","Voces Moviles (Mobile Voices)","Digital Media & Learning Competition 3",2
"6195","Who Built America? Badges for Teaching Disciplinary Literacy in History","Digital Media & Learning Competition 3",1
"6197","WildLab","Digital Media & Learning Competition 3",2
"6198","Women Aloud: Videoblogging for Empowerment (WAVE)","Digital Media & Learning Competition 3",1
"6199","Youth APPLab","Digital Media & Learning Competition 3",4
"6200","Youth Digital Filmmaker Badge System","Digital Media & Learning Competition 3",1
"6201","#transformDH","Digital Media & Learning Competition 4",1
"6202","4-H/USDA Robotics Digital Badges","Digital Media & Learning Competition 4",13
"6204","Access + Digital Literacy","Digital Media & Learning Competition 4",1
"6206","American Graduate: Let's Make It Happen Badges","Digital Media & Learning Competition 4",3
"6208","Badges for Lifelong Learning","Digital Media & Learning Competition 4",27
"6209","Badges in Higher Ed","Digital Media & Learning Competition 4",6
"6210","Badges Work for Vets","Digital Media & Learning Competition 4",7
"6211","BadgeStack","Digital Media & Learning Competition 4",5
"6212","Better things to do","Digital Media & Learning Competition 4",1
"6213","Black Cloud: Environmental Studies Gaming","Digital Media & Learning Competition 4",2
"6214","Bound By Law","Digital Media & Learning Competition 4",1
"6215","BuzzMath","Digital Media & Learning Competition 4",3
"6216","Cellcraft: Exploring the Cell Through Computer Games","Digital Media & Learning Competition 4",1
"6219","CivicsLab.com","Digital Media & Learning Competition 4",1
"6221","Collaboration","Digital Media & Learning Competition 4",2
"6222","Collaborative Data","Digital Media & Learning Competition 4",1
"6223","Computer Science Student Network Badge System","Digital Media & Learning Competition 4",7
"6224","Conservation Connection","Digital Media & Learning Competition 4",2
"6227","Critical Commons","Digital Media & Learning Competition 4",1
"6229","Design Exchange","Digital Media & Learning Competition 4",4
"6230","Design for America: A Badge Community for Innovation","Digital Media & Learning Competition 4",4
"6233","Digital Democracy Contest","Digital Media & Learning Competition 4",1
"6236","Digital History","Digital Media & Learning Competition 4",1
"6238","Digital Media & Learning Competition 1","Digital Media & Learning Competition 4",4
"6239","Digital Media & Learning Competition 2","Digital Media & Learning Competition 4",2
"6240","Digital Media & Learning Competition 3","Digital Media & Learning Competition 4",3
"6242","Digital Media and Learning Competitions","Digital Media & Learning Competition 4",2
"6243","Digital Publishing","Digital Media & Learning Competition 4",1
"6244","DigitalOcean: Sampling the Sea","Digital Media & Learning Competition 4",1
"6245","Disney-Pixar Wilderness Explorers Badges","Digital Media & Learning Competition 4",3
"6247","Duke PhD Lab","Digital Media & Learning Competition 4",1
"6248","EarthWorks","Digital Media & Learning Competition 4",8
"6252","Fab@School","Digital Media & Learning Competition 4",1
"6256","Formal and Informal Online Learning Environments","Digital Media & Learning Competition 4",1
"6257","Fractor: Act on Facts","Digital Media & Learning Competition 4",1
"6258","Getting the Most Out of Teams","Digital Media & Learning Competition 4",1
"6259","Global Challenge","Digital Media & Learning Competition 4",1
"6261","Grand Challenges and Enduring Questions","Digital Media & Learning Competition 4",2
"6264","HASTAC Nominating Committee","Digital Media & Learning Competition 4",1
"6265","HASTAC Scholars - Evaluation of Impact","Digital Media & Learning Competition 4",1
"6267","HASTAC Steering Committee","Digital Media & Learning Competition 4",3
"6268","HASTAC virtual advisors","Digital Media & Learning Competition 4",1
"6269","HASTAC@Duke","Digital Media & Learning Competition 4",3
"6271","History Game Canada","Digital Media & Learning Competition 4",1
"6272","How They Got Game: Cultural Implications of Interactive Simulations and Video Games","Digital Media & Learning Competition 4",1
"6273","HyperCities","Digital Media & Learning Competition 4",2
"6274","Indiana-based HASTAC Scholars","Digital Media & Learning Competition 4",1
"6276","Intel and Society for Science and the Public Badges","Digital Media & Learning Competition 4",7
"6278","LevelUp","Digital Media & Learning Competition 4",2
"6279","Leverage for Digital On-Ramps","Digital Media & Learning Competition 4",3
"6280","M-Ubuntu: Teachers Building an M-Literacy Collaboratory","Digital Media & Learning Competition 4",1
"6282","Mobile Action Lab","Digital Media & Learning Competition 4",1
"6283","Mobile and Immersive Learning for Literacy in Emerging Economies (MILLEE)","Digital Media & Learning Competition 4",2
"6284","Mobile Movement: Handheld Philanthropy","Digital Media & Learning Competition 4",1
"6285","Mobile Musical Networks","Digital Media & Learning Competition 4",1
"6286","Moodle as Issuer, Mahara as Displayer","Digital Media & Learning Competition 4",6
"6287","MOUSE Wins! Badge-based Achievement System for National Youth Technology Leadership","Digital Media & Learning Competition 4",3
"6288","My Girl Scout Sash Is An App","Digital Media & Learning Competition 4",4
"6289","National Manufacturing Badge System","Digital Media & Learning Competition 4",3
"6291","NatureBadges: Open Source Nature & Science Badge System","Digital Media & Learning Competition 4",4
"6292","Networked Newsroom","Digital Media & Learning Competition 4",1
"6293","Networking Grassroots Knowledge Globally","Digital Media & Learning Competition 4",1
"6294","New Media and Social Movements","Digital Media & Learning Competition 4",3
"6298","Origami: Enfolding Real and Virtual Learning","Digital Media & Learning Competition 4",1
"6300","Participatory Chinatown","Digital Media & Learning Competition 4",1
"6301","Partners in Learning Network Badges","Digital Media & Learning Competition 4",3
"6302","Pathways for Lifelong Learning","Digital Media & Learning Competition 4",5
"6303","Pathways to Global Competence: A Badge System for Students","Digital Media & Learning Competition 4",5
"6304","Pedagogy","Digital Media & Learning Competition 4",3
"6305","Peer 2 Peer University (P2PU)","Digital Media & Learning Competition 4",3
"6306","Planet Stewards: Personalized Learning in 3D GameLab","Digital Media & Learning Competition 4",8
"6307","Playpower: Radically Affordable Computer-Aided Learning","Digital Media & Learning Competition 4",1
"6308","Preparing Librarians to Meet the Needs of 21st Century Teens","Digital Media & Learning Competition 4",5
"6311","RezEd: The Hub for Learning and Virtual Worlds","Digital Media & Learning Competition 4",1
"6312","S2R Medals","Digital Media & Learning Competition 4",5
"6313","SA&FS Learner Driven Badges Project","Digital Media & Learning Competition 4",5
"6314","Scholar Class 2009","Digital Media & Learning Competition 4",1
"6317","Scholar Class 2012","Digital Media & Learning Competition 4",2
"6318","Scholar Class 2013","Digital Media & Learning Competition 4",5
"6319","Scholars","Digital Media & Learning Competition 4",6
"6323","Semantic Web","Digital Media & Learning Competition 4",1
"6326","Social Media Classroom","Digital Media & Learning Competition 4",1
"6328","Staff","Digital Media & Learning Competition 4",3
"6329","Starlite (TM) Digital Badges Using NASA Content","Digital Media & Learning Competition 4",7
"6331","Sustainable South Bronx Fab Lab","Digital Media & Learning Competition 4",1
"6332","Sweet Water AQUAPONS","Digital Media & Learning Competition 4",4
"6334","Talkers and Doers","Digital Media & Learning Competition 4",1
"6335","Tecno.Tzotzil: Participatory Learning Among Indigenous Children in Chiapas","Digital Media & Learning Competition 4",1
"6346","Virtual Peace","Digital Media & Learning Competition 4",1
"6348","Voces Moviles (Mobile Voices)","Digital Media & Learning Competition 4",2
"6350","Who Built America? Badges for Teaching Disciplinary Literacy in History","Digital Media & Learning Competition 4",9
"6352","WildLab","Digital Media & Learning Competition 4",1
"6353","Women Aloud: Videoblogging for Empowerment (WAVE)","Digital Media & Learning Competition 4",1
"6354","Youth APPLab","Digital Media & Learning Competition 4",1
"6355","Youth Digital Filmmaker Badge System","Digital Media & Learning Competition 4",5
"6357","4-H/USDA Robotics Digital Badges","Digital Media and Learning Competitions",1
"6359","Access + Digital Literacy","Digital Media and Learning Competitions",1
"6361","American Graduate: Let's Make It Happen Badges","Digital Media and Learning Competitions",1
"6363","Badges for Lifelong Learning","Digital Media and Learning Competitions",2
"6364","Badges in Higher Ed","Digital Media and Learning Competitions",1
"6365","Badges Work for Vets","Digital Media and Learning Competitions",1
"6368","Black Cloud: Environmental Studies Gaming","Digital Media and Learning Competitions",2
"6371","Cellcraft: Exploring the Cell Through Computer Games","Digital Media and Learning Competitions",1
"6374","CivicsLab.com","Digital Media and Learning Competitions",1
"6377","Collaborative Data","Digital Media and Learning Competitions",2
"6378","Computer Science Student Network Badge System","Digital Media and Learning Competitions",1
"6379","Conservation Connection","Digital Media and Learning Competitions",1
"6382","Critical Commons","Digital Media and Learning Competitions",1
"6385","Design for America: A Badge Community for Innovation","Digital Media and Learning Competitions",1
"6388","Digital Democracy Contest","Digital Media and Learning Competitions",1
"6390","Digital Dissertations Initiative","Digital Media and Learning Competitions",1
"6393","Digital Media & Learning Competition 1","Digital Media and Learning Competitions",2
"6394","Digital Media & Learning Competition 2","Digital Media and Learning Competitions",2
"6395","Digital Media & Learning Competition 3","Digital Media and Learning Competitions",2
"6396","Digital Media & Learning Competition 4","Digital Media and Learning Competitions",2
"6399","DigitalOcean: Sampling the Sea","Digital Media and Learning Competitions",1
"6400","Disney-Pixar Wilderness Explorers Badges","Digital Media and Learning Competitions",1
"6403","EarthWorks","Digital Media and Learning Competitions",1
"6407","Fab@School","Digital Media and Learning Competitions",1
"6408","Fembot Collective","Digital Media and Learning Competitions",1
"6412","Fractor: Act on Facts","Digital Media and Learning Competitions",1
"6414","Global Challenge","Digital Media and Learning Competitions",1
"6416","Grand Challenges and Enduring Questions","Digital Media and Learning Competitions",1
"6418","GreaterThanGames Virtual Lab","Digital Media and Learning Competitions",1
"6420","HASTAC Scholars - Evaluation of Impact","Digital Media and Learning Competitions",1
"6423","HASTAC virtual advisors","Digital Media and Learning Competitions",1
"6424","HASTAC@Duke","Digital Media and Learning Competitions",3
"6426","History Game Canada","Digital Media and Learning Competitions",1
"6428","HyperCities","Digital Media and Learning Competitions",1
"6431","Intel and Society for Science and the Public Badges","Digital Media and Learning Competitions",1
"6433","LevelUp","Digital Media and Learning Competitions",1
"6434","Leverage for Digital On-Ramps","Digital Media and Learning Competitions",1
"6435","M-Ubuntu: Teachers Building an M-Literacy Collaboratory","Digital Media and Learning Competitions",1
"6437","Mobile Action Lab","Digital Media and Learning Competitions",1
"6438","Mobile and Immersive Learning for Literacy in Emerging Economies (MILLEE)","Digital Media and Learning Competitions",2
"6439","Mobile Movement: Handheld Philanthropy","Digital Media and Learning Competitions",1
"6440","Mobile Musical Networks","Digital Media and Learning Competitions",1
"6441","Moodle as Issuer, Mahara as Displayer","Digital Media and Learning Competitions",1
"6443","My Girl Scout Sash Is An App","Digital Media and Learning Competitions",1
"6444","National Manufacturing Badge System","Digital Media and Learning Competitions",1
"6446","NatureBadges: Open Source Nature & Science Badge System","Digital Media and Learning Competitions",1
"6447","Networked Newsroom","Digital Media and Learning Competitions",1
"6448","Networking Grassroots Knowledge Globally","Digital Media and Learning Competitions",1
"6449","New Media and Social Movements","Digital Media and Learning Competitions",1
"6453","Origami: Enfolding Real and Virtual Learning","Digital Media and Learning Competitions",1
"6455","Participatory Chinatown","Digital Media and Learning Competitions",1
"6456","Partners in Learning Network Badges","Digital Media and Learning Competitions",1
"6457","Pathways for Lifelong Learning","Digital Media and Learning Competitions",1
"6458","Pathways to Global Competence: A Badge System for Students","Digital Media and Learning Competitions",1
"6459","Pedagogy","Digital Media and Learning Competitions",1
"6461","Planet Stewards: Personalized Learning in 3D GameLab","Digital Media and Learning Competitions",1
"6462","Playpower: Radically Affordable Computer-Aided Learning","Digital Media and Learning Competitions",1
"6463","Preparing Librarians to Meet the Needs of 21st Century Teens","Digital Media and Learning Competitions",1
"6466","RezEd: The Hub for Learning and Virtual Worlds","Digital Media and Learning Competitions",1
"6467","S2R Medals","Digital Media and Learning Competitions",1
"6468","SA&FS Learner Driven Badges Project","Digital Media and Learning Competitions",1
"6478","Semantic Web","Digital Media and Learning Competitions",1
"6481","Social Media Classroom","Digital Media and Learning Competitions",1
"6483","Staff","Digital Media and Learning Competitions",2
"6486","Sustainable South Bronx Fab Lab","Digital Media and Learning Competitions",1
"6487","Sweet Water AQUAPONS","Digital Media and Learning Competitions",1
"6489","Talkers and Doers","Digital Media and Learning Competitions",1
"6490","Tecno.Tzotzil: Participatory Learning Among Indigenous Children in Chiapas","Digital Media and Learning Competitions",1
"6501","Virtual Peace","Digital Media and Learning Competitions",1
"6503","Voces Moviles (Mobile Voices)","Digital Media and Learning Competitions",2
"6505","Who Built America? Badges for Teaching Disciplinary Literacy in History","Digital Media and Learning Competitions",1
"6507","WildLab","Digital Media and Learning Competitions",1
"6508","Women Aloud: Videoblogging for Empowerment (WAVE)","Digital Media and Learning Competitions",1
"6509","Youth APPLab","Digital Media and Learning Competitions",1
"6510","Youth Digital Filmmaker Badge System","Digital Media and Learning Competitions",1
"6511","#transformDH","Digital Publishing",4
"6513","A Look at MOOCs","Digital Publishing",1
"6515","Alt-Ac","Digital Publishing",2
"6517","Authority Control: Information and Library Science","Digital Publishing",5
"6518","Badges for Lifelong Learning","Digital Publishing",1
"6527","ChinaVine","Digital Publishing",1
"6531","Collaboration","Digital Publishing",3
"6532","Collaborative Data","Digital Publishing",4
"6544","Digital Dissertations","Digital Publishing",4
"6546","Digital History","Digital Publishing",9
"6547","Digital Humanities at the University of Maine","Digital Publishing",1
"6550","Digital Media & Learning Competition 3","Digital Publishing",1
"6551","Digital Media & Learning Competition 4","Digital Publishing",1
"6556","Duke FHI Grad Digital","Digital Publishing",1
"6557","Duke PhD Lab","Digital Publishing",1
"6560","Electronic Book Review (ebr)","Digital Publishing",2
"6561","Electronic Literature Organization","Digital Publishing",8
"6563","Fembot Collective","Digital Publishing",4
"6564","Feminist Scholars Digital Workshop","Digital Publishing",2
"6570","Global Outlook :: Digital Humanities","Digital Publishing",1
"6572","Graphic, Visual and Multi-modal Storytelling","Digital Publishing",9
"6573","GreaterThanGames Virtual Lab","Digital Publishing",1
"6578","HASTAC virtual advisors","Digital Publishing",1
"6604","New Media and Social Movements","Digital Publishing",3
"6605","New Media Literacy Group","Digital Publishing",1
"6606","Northeastern University","Digital Publishing",1
"6614","Pedagogy","Digital Publishing",11
"6619","Queer DML","Digital Publishing",1
"6624","Scholar Class 2009","Digital Publishing",1
"6626","Scholar Class 2011","Digital Publishing",1
"6627","Scholar Class 2012","Digital Publishing",1
"6628","Scholar Class 2013","Digital Publishing",13
"6629","Scholars","Digital Publishing",14
"6631","Scratch & Share","Digital Publishing",1
"6633","Semantic Web","Digital Publishing",1
"6635","Social Media and Reader Reception","Digital Publishing",2
"6637","Sound & Music","Digital Publishing",1
"6638","Staff","Digital Publishing",1
"6643","Syracuse University Humanities and Digital Scholarship","Digital Publishing",1
"6652","Unlocked","Digital Publishing",2
"6660","Who Built America? Badges for Teaching Disciplinary Literacy in History","Digital Publishing",1
"6678","Black Cloud: Environmental Studies Gaming","DigitalOcean: Sampling the Sea",1
"6681","Cellcraft: Exploring the Cell Through Computer Games","DigitalOcean: Sampling the Sea",1
"6684","CivicsLab.com","DigitalOcean: Sampling the Sea",1
"6692","Critical Commons","DigitalOcean: Sampling the Sea",1
"6698","Digital Democracy Contest","DigitalOcean: Sampling the Sea",1
"6703","Digital Media & Learning Competition 1","DigitalOcean: Sampling the Sea",1
"6704","Digital Media & Learning Competition 2","DigitalOcean: Sampling the Sea",5
"6705","Digital Media & Learning Competition 3","DigitalOcean: Sampling the Sea",1
